"","Type","Region","Admit.rate","X4.yr.grad.rate","Total.cost.per.yr.","Avg.need.based.aid","Avg.non.need.based.aid","X..of.non.need.based.aid","Avg.debt.at.graduation","Salary"
"220","Liberal Arts","MW",68,56,92,21784,15430,66,27534,37000
"221","Public","SE/MS",72,65,46,7300,4418,2,28407,53800
"222","Liberal Arts","SE/MS",36,71,84,12410,35697,3,38430,46800
"223","Private","W/SW",51,66,197,25655,14502,32,29646,59300
"224","Private","MW",82,66,111,21019,12232,50,36132,45100
"225","Private","W/SW",72,47,66,17061,14594,19,23984,40300
"226","Public","W/SW",66,52,113,10237,4134,17,24072,55500
"227","Public","SE/MS",81,47,88,7690,7083,27,28170,47100
"228","Liberal Arts","W/SW",78,71,192,29689,21056,79,29958,49100
"229","Public","SE/MS",62,63,48,6731,2460,24,30451,43600
"230","Private","W/SW",54,74,200,20440,10085,51,30698,55800
"231","Liberal Arts","MW",88,80,162,28598,17814,83,39536,50000
"232","Public","W/SW",76,29,55,7029,6212,29,21081,51000
"233","Public","SE/MS",72,53,18,5095,3584,2,25112,39600
"234","Public","MW",75,44,52,9807,4276,29,26685,46100
"235","Public","MA",59,58,77,7162,4361,6,19500,49900
"236","Public","SE/MS",78,39,28,6778,2434,11,22026,34200
"237","Private","W/SW",49,68,290,22210,23323,50,29601,57300
"238","Private","MA",44,61,288,33119,17920,65,35000,77900
"239","Public","W/SW",83,50,64,10074,7968,37,22903,45400
"240","Public","MA",43,54,20,5016,2504,1,26283,43700
"241","Liberal Arts","MW",72,62,131,30716,23369,95,35221,43500
"242","Private","MW",84,60,143,20324,11877,85,35421,59000
"243","Public","SE/MS",73,28,33,9166,8101,22,23553,40300
"244","Liberal Arts","SE/MS",48,53,120,7892,21098,99,27776,45600
"245","Public","MA",41,31,29,7783,5850,1,14383,47400
"246","Public","SE/MS",77,43,85,9760,5348,24,24420,43400
"247","Public","MA",66,47,14,6043,2569,21,26940,47800
"248","Private","MW",69,62,127,21810,16417,77,32108,47500
"249","Public","SE/MS",78,37,31,8561,8057,38,28162,41100
"250","Public","W/SW",83,40,30,8999,2068,4,19727,44400
"251","Public","MW",75,36,37,7479,6821,10,23231,43700
